,country_code
0,TGO
1,SEN
2,TCD
3,RWA
4,COD
5,BDI
6,TZA
7,MDG
8,UGA
9,SLE
10,ZMB
11,GIN
12,STP
13,RUS
14,KGZ
15,MKD
16,SRB
17,ALB
18,KAZ
19,ARM
20,BLR
21,MDV
22,BTN
23,IND
24,AFG
25,BGD
26,NPL
27,PAK
28,LKA
29,SLV
30,BRA
31,PER
32,BOL
33,GTM
34,MEX
35,HND
36,NIC
37,JAM
38,COL
39,JOR
40,GHA
41,LSO
42,NAM
43,SWZ
44,ZAF
45,ETH
46,GMB
47,MUS
48,MOZ
49,LBR
50,KEN
51,CPV
52,NGA
53,MWI
54,MRT
55,BEN
56,BFA
57,CIV
58,CMR
59,COG
60,GAB
61,MLI
62,NER
63,TLS
64,FJI
65,PNG
66,CHN
67,THA
68,PHL
69,MNG
70,KHM
71,LAO
72,IDN
73,VNM
74,LVA
75,MNE
76,AZE
77,BGR
78,BIH
79,TUR
80,LTU
81,ROU
82,TJK
83,UKR
84,MDA
85,IRQ
86,EGY
87,MAR
88,DJI
89,YEM
