,country_code,mort
2,ARG,128.85714285714286
5,AUS,51.0
6,AUT,24.333333333333332
8,BEL,13.333333333333334
10,BHR,14.0
14,BRA,491.14285714285717
17,CAN,105.42857142857143
18,CHE,24.857142857142858
19,CHL,43.2
20,COL,112.85714285714286
21,CRI,41.0
22,CUB,81.0
23,CYP,4.8
24,CZE,13.6
25,DEU,179.14285714285714
27,DNK,13.142857142857142
28,DOM,2.0
29,ECU,30.571428571428573
31,ESP,136.28571428571428
32,EST,6.0
33,FIN,25.428571428571427
35,FRA,226.28571428571428
36,GBR,438.2857142857143
38,GLP,10.0
41,GTM,4.8
42,GUF,2.0
44,HKG,8.0
45,HND,6.0
46,HRV,20.571428571428573
48,HUN,49.0
49,IRL,3.0
50,IRN,12.0
52,ISL,2.0
53,ISR,39.142857142857146
54,ITA,106.28571428571429
55,JAM,6.0
56,JOR,8.0
62,KOR,106.28571428571429
63,KWT,4.666666666666667
66,LTU,18.666666666666668
67,LUX,6.0
68,LVA,34.666666666666664
69,MAR,4.0
72,MEX,757.1428571428571
74,MLT,3.3333333333333335
78,MTQ,2.0
80,MYS,45.0
82,NIC,2.0
83,NLD,25.2
84,NOR,16.857142857142858
85,NZL,26.333333333333332
87,PAN,4.666666666666667
91,PRI,9.5
92,PRT,82.4
93,PRY,9.0
95,QAT,7.333333333333333
96,REU,7.2
98,SAU,134.0
100,SGP,4.0
101,SLV,36.0
102,SRB,2.0
104,SVK,22.0
106,SWE,18.285714285714285
109,THA,40.285714285714285
113,TUR,123.71428571428571
114,URY,21.5
115,USA,815.7142857142857
118,VEN,118.5
120,ZAF,20.4
