country_code,death_per_100k
AFG,50.6
AGO,93.2
ALB,11.2
ARE,21.9
ARG,48.7
ARM,8.8
ATG,33.1
AUS,6.7
AUT,4.6
AZE,15.3
BDI,116.0
BEL,16.7
BEN,142.4
BFA,140.6
BGD,23.1
BGR,12.2
BHR,12.6
BHS,22.7
BIH,5.7
BLR,6.4
BLZ,57.8
BOL,61.0
BRA,42.7
BRB,51.4
BRN,25.5
BTN,36.9
BWA,71.7
CAF,122.7
CAN,7.7
CHE,7.4
CHL,16.2
CHN,11.7
CIV,184.2
CMR,145.8
COD,102.5
COG,74.3
COL,23.7
COM,120.0
CPV,76.5
CRI,13.2
CUB,29.1
CYP,6.0
CZE,15.4
DEU,9.0
DJI,99.6
DNK,13.6
DOM,22.8
DZA,23.5
ECU,33.8
EGY,28.2
ERI,105.6
ESP,8.1
EST,10.1
ETH,86.9
FIN,2.1
FJI,33.7
FRA,7.9
FSM,47.0
GAB,74.0
GBR,19.2
GEO,9.4
GHA,139.9
GIN,169.3
GMB,146.7
GNB,135.7
GNQ,131.3
GRC,16.5
GRD,47.9
GTM,58.3
GUY,51.5
HND,10.7
HRV,5.9
HTI,71.6
HUN,6.2
IDN,25.0
IND,63.1
IRL,13.0
IRN,17.3
IRQ,18.8
ISL,8.2
ISR,17.4
ITA,6.0
JAM,14.2
JOR,21.9
JPN,24.3
KAZ,17.3
KEN,60.2
KGZ,14.5
KHM,75.7
KIR,53.0
KOR,21.0
KWT,126.6
LAO,58.6
LBN,10.1
LBR,114.8
LBY,26.9
LCA,21.0
LKA,21.5
LSO,104.4
LTU,12.0
LUX,8.5
LVA,11.7
MAR,26.0
MDA,23.3
MDG,79.1
MDV,9.8
MEX,18.5
MKD,5.4
MLI,81.8
MLT,17.9
MMR,47.0
MNE,5.3
MNG,12.5
MOZ,70.5
MRT,130.7
MUS,16.9
MWI,80.5
MYS,64.3
NAM,96.2
NER,162.3
NGA,246.6
NIC,18.9
NLD,10.7
NOR,13.1
NPL,47.5
NZL,8.3
OMN,24.3
PAK,42.0
PAN,21.1
PER,77.7
PHL,126.5
PNG,64.6
POL,20.6
PRK,20.1
PRT,23.1
PRY,25.3
QAT,10.1
ROU,22.2
RUS,16.2
RWA,79.9
SAU,43.7
SDN,52.7
SEN,97.2
SGP,69.9
SLB,44.0
SLE,217.8
SLV,33.2
SOM,154.3
SRB,8.4
SSD,117.1
STP,95.4
SUR,34.6
SVK,20.6
SVN,12.7
SWE,9.2
SWZ,99.4
SYC,58.9
SYR,14.4
TCD,203.8
TGO,155.3
THA,47.8
TJK,39.3
TKM,23.1
TLS,50.2
TON,34.8
TTO,21.7
TUN,25.1
TUR,10.2
TZA,94.0
UGA,100.6
UKR,9.3
URY,17.8
USA,10.9
UZB,17.7
VCT,40.5
VEN,24.4
VNM,17.1
VUT,41.1
WSM,32.1
YEM,57.3
ZAF,86.1
ZMB,92.4
ZWE,111.1
