country_code,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,,,,,,,,,,,,,,,,,,,,,,654,18,24,28,148,10,20,302,
ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,,,,,,,,,,,,,,,,,,,,,,154,42,44,,18,34,14,,
AUT,,,,,,,,,,,,,,,,,,,,,,20,16,30,,18,2,60,70,222
AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,,,,,,,,,,,,,,,,,,,,,,38,4,20,,8,4,6,,
BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHR,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,
BHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,,,,,,,,,,,,,,,,,,,,,,1936,110,48,368,664,218,94,1996,
BRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,,,,,,,,,,,,,,,,,,,,,,554,12,42,10,26,90,4,,
CHE,,,,,,,,,,,,,,,,,,,,,,38,16,16,6,28,20,50,,
CHL,,,,,,,,,,,,,,,,,,,,,,98,40,,,28,10,40,122,
COL,,,,,,,,,,,,,,,,,,,,,,466,164,64,20,52,12,12,,
CRI,,,,,,,,,,,,,,,,,,,,,,96,56,6,4,78,6,,,
CUB,,,,,,,,,,,,,,,,,,,,,,88,74,,,,,,,
CYP,,,,,,,,,,,,,,,,,,,,,,,10,8,,2,2,2,2,
CZE,,,,,,,,,,,,,,,,,,,,,,28,12,12,,10,,6,18,
DEU,,,,,,,,,,,,,,,,,,,,,,236,136,294,12,292,24,260,,
DMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,,,,,,,,,,,,,,,,,,,,,,20,6,32,2,6,14,12,,
DOM,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,
ECU,,,,,,,,,,,,,,,,,,,,,,120,28,38,2,10,8,8,52,
EGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,,,,,,,,,,,,,,,,,,,,,,382,70,246,80,46,104,26,,
EST,,,,,,,,,,,,,,,,,,,,,,,4,8,,,,,,
FIN,,,,,,,,,,,,,,,,,,,,,,48,8,16,12,24,38,32,,
FJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,,,,,,,,,,,,,,,,,,,,,,236,82,182,208,170,180,526,,
GBR,,,,,,,,,,,,,,,,,,,,,,636,600,1492,28,88,168,56,250,
GEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLP,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,
GRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,,,,,,,,,,,,,,,,,,,,,,,6,4,4,4,6,,22,
GUF,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,
GUY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HKG,,,,,,,,,,,,,,,,,,,,,,,6,24,,2,4,4,,
HND,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,
HRV,,,,,,,,,,,,,,,,,,,,,,52,10,54,10,2,2,14,16,
HTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,,,,,,,,,,,,,,,,,,,,,,122,102,56,,2,4,8,2,
IRL,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,
IRN,,,,,,,,,,,,,,,,,,,,,,,,,,,2,22,,
IRQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,4,18
ISR,,,,,,,,,,,,,,,,,,,,,,114,42,34,4,46,24,10,,
ITA,,,,,,,,,,,,,,,,,,,,,,210,40,220,8,38,26,202,,
JAM,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,
JOR,,,,,,,,,,,,,,,,,,,,,,,2,20,2,,,,,
JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KGZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,,,,,,,,,,,,,,,,,,,,,,278,156,84,44,22,54,106,2,
KWT,,,,,,,,,,,,,,,,,,,,,,,,,4,2,8,,,
LCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTU,,,,,,,,,,,,,,,,,,,,,,30,10,16,,,,,,
LUX,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,
