country_code,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
ANT,4,12,4,2,2,6,2,2,,,,2,,,,,,,,,,,,,,,,,,
ARG,,,,,,,,,,8,6,4,,,,4,,6,8,2,,10,8,4,8,28,2,6,42,
ARM,,,,,,,,,,,,,,,,,,,,,,8,,,,10,,,10,
ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,,,,,,,,,,,2,4,6,2,4,12,4,,8,42,36,30,6,26,164,70,320,394,,
AUT,,,,,,,,,,,,,,,12,6,4,8,,,2,12,,6,10,18,,12,2,24
AZE,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,
BEL,,,,,,,,,,,8,16,6,4,4,2,2,,2,2,2,6,2,4,18,10,8,24,,
BGR,,,,,,,,,,,,,,,,,,10,2,10,6,22,,12,2,8,8,,,
BHR,,,,,,,,,,,,,,,,,,,,,,,,,6,4,,,,
BHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,,,,,,,,,,,,,,,,,,,,,,,,22,,,4,,,
BLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,,,,,,,,,24,4,40,32,60,52,48,20,20,32,44,50,48,686,100,50,220,362,130,116,598,
BRB,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
BRN,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
CAN,,,,,,,,,,,,,46,12,126,150,160,322,86,122,206,126,42,292,290,510,560,1090,,
CHE,,,,,,,,10,6,,58,14,16,4,,,,,2,6,,10,,,6,16,4,76,,
CHL,,,,,,,,,,6,,,,6,,,2,,,,,2,,,6,16,26,62,78,
COL,,,,,,,,,,,,,,,,,,,,,,2,4,2,,2,4,2,,
CRI,,,,,,,,,,,,,,,,4,,,,,,,,,8,2,,,,
CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,2,18,2,
CYP,,,,,,,,,,,,,,,,,,,,,,6,,4,,,,,,
CZE,,,,,,,10,6,4,4,,8,14,,4,2,2,6,4,22,14,34,32,48,14,220,8,102,124,
DEU,,,,,,,,,,,22,68,44,18,20,50,18,44,6,22,28,48,8,26,12,102,10,122,,
DMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,,,,,,,,,,2,4,2,4,,8,2,12,,2,6,,,,6,,2,,,,
DOM,,,,,,,,,,,2,2,,,,,,,,,,,,,,2,,,,
ECU,,,,,,,,,,2,2,2,,4,2,10,6,,,,2,26,6,20,6,52,8,6,24,
EGY,,,,,,,,,,,,,162,52,6,2,12,14,12,6,2,22,22,12,10,12,46,16,,
ESP,,,,,,,,,,,,2,,2,,,,2,,2,,,6,10,6,24,516,530,980,
EST,,,,,,,,,,,,,,,,,,,,,,8,2,10,6,10,26,18,38,
FIN,,,,,,,,,66,12,50,66,38,6,8,30,20,16,12,6,10,14,4,36,48,42,44,196,,
FJI,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
FRA,,,,,,,,,,,,,8,2,2,6,6,16,6,6,8,,4,20,4,84,8,136,,
GBR,,,,,,,,,,,,,4,16,4,24,16,56,16,20,52,240,88,328,212,548,172,824,430,
GEO,,,,,,,,,,,,4,6,,,,52,10,14,2,,26,18,20,4,24,6,,,
GLP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,,,,,,,,,,,,,,,,,,,,,,,,,,,156,60,,
GRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,,,,,,,,,,,,,,,,,,30,14,4,,14,,,,,,2,,
GUF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
