,items,comp
248,"Net trade in goods (BoP, current US$)",-1.6447792053222656
479,Ores and metals exports (% of merchandise exports),-1.4971857070922852
604,Real interest rate (%),-1.466970682144165
610,Strength of legal rights index (0=weak to 12=strong),-1.2044607400894165
119,"Foreign direct investment, net inflows (% of GDP)",-1.121121883392334
459,"Electricity production from renewable sources, excluding hydroelectric (% of total)",-1.1122233867645264
592,Lending interest rate (%),-1.0667122602462769
105,External balance on goods and services (current US$),-1.0409811735153198
249,"Net trade in goods and services (BoP, current US$)",-1.0178008079528809
485,Time required to get electricity (days),-0.9733810424804688
1112,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),-0.9575502872467041
258,"Portfolio investment, net (BoP, current US$)",-0.9498900175094604
1153,Taxes on exports (% of tax revenue),-0.9407376050949097
606,S&P Global Equity Indices (annual % change),-0.9367806911468506
155,General government final consumption expenditure (annual % growth),-0.9351862072944641
480,Ores and metals imports (% of merchandise imports),-0.8932083249092102
1131,Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),-0.8805621862411499
691,"Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)",-0.8684958815574646
611,Total reserves (% of total external debt),-0.8654974102973938
1158,Transport services (% of commercial service exports),-0.8344568610191345
335,"Government expenditure on education, total (% of government expenditure)",-0.8217123746871948
225,Interest payments on external debt (% of GNI),-0.8156908750534058
238,"Net financial account (BoP, current US$)",-0.8006428480148315
88,"Current account balance (BoP, current US$)",-0.775171160697937
722,Completeness of death registration with cause-of-death information (%),-0.774699330329895
508,CO2 intensity (kg per kg of oil equivalent energy use),-0.7621099948883057
653,Legislation exists on domestic violence (1=yes; 0=no),-0.7535445690155029
302,"Compulsory education, duration (years)",-0.7444596290588379
725,Consumption of iodized salt (% of households),-0.7367801666259766
1049,High-technology exports (% of manufactured exports),-0.718624472618103
1083,Import volume index (2000 = 100),-0.7106032371520996
1122,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",-0.6984256505966187
334,"Government expenditure on education, total (% of GDP)",-0.6940760016441345
672,Proportion of seats held by women in national parliaments (%),-0.692277193069458
1161,Travel services (% of commercial service imports),-0.6748203635215759
1106,Manufactures imports (% of merchandise imports),-0.6708282232284546
968,"Employment to population ratio, 15+, male (%) (national estimate)",-0.6613013744354248
893,ICT goods exports (% of total goods exports),-0.6572422981262207
962,Coverage of unemployment benefits and ALMP in poorest quintile (% of population),-0.6552399396896362
16,Arable land (hectares per person),-0.6500055193901062
434,"Trained teachers in primary education, male (% of male teachers)",-0.6345658898353577
690,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",-0.6306401491165161
726,"Contraceptive prevalence, modern methods (% of women ages 15-49)",-0.6115295886993408
432,Trained teachers in primary education (% of total teachers),-0.6108260154724121
884,Vitamin A supplementation coverage rate (% of children ages 6-59 months),-0.6102972626686096
970,"Employment to population ratio, 15+, total (%) (national estimate)",-0.608889639377594
482,Pump price for gasoline (US$ per liter),-0.6041386127471924
561,Urban land area where elevation is below 5 meters (% of total land area),-0.5946418642997742
433,"Trained teachers in primary education, female (% of female teachers)",-0.5836161375045776
664,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),-0.5788232088088989
894,ICT goods imports (% total goods imports),-0.5735268592834473
286,"Transport services (% of service exports, BoP)",-0.5677304863929749
289,"Travel services (% of service imports, BoP)",-0.5626240372657776
724,Completeness of total death reporting (% of reported total deaths to estimated total deaths),-0.5515673756599426
147,GNI per capita growth (annual %),-0.5348536968231201
1132,Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),-0.5278509259223938
